"","Progressive.passes.per.90","Deep.completed.crosses.acc...","Deep.completed.crosses.per.90","Deep.completed.passes.acc...","Deep.completed.passes.per.90","Thru.passes.acc...","Thru.passes.per.90","Passes.to.penalty.area.acc...","Passes.to.penalty.area.per.90","Final.3rd.passes.acc...","Final.3rd.passes.per.90","Key.passes.per.90","Smt.passes.acc...","Smt.passes.per.90","Third.assists.per.90","Second.assists.per.90","Avg.lng.pass.length..m","Avg.pass.length..m","Lng.passes.acc...","Lng.passes.per.90","Lat.passes.acc...","Lat.passes.per.90","Back.passes.acc...","Back.passes.per.90","Fwd.passes.acc...","Fwd.passes.per.90","Passes.acc...","Passes.per.90","Red.cards.per.90","Red.cards","Yellow.cards.per.90","Yellow.cards","Fouls.per.90","Interceptions.per.opp.30","Interceptions.per.90","Shots.blocked.per.90","Tackles.per.opp.30","Tackle.succ...","Tackles.per.90","Aerial.duels.won..","Aerial.duels.per.90","Def.duels.won..","Def.duels.per.90","Succ..def..per.90","Progressive.runs.per.90","Touches.in.box.per.90","Dribbles.succ...","Dribbles.per.90","Crosses...","Crosses.per.90","xA.per.90","xA","Assists.per.90","Assists","Goal.conv....","Shots.on.target..","Shots.per.90","Shots.total","Head.goals.per.90","Head.goals.total","xG.per.90","Non.penalty.goals.per.90","Non.penalty.goals","Goals.per.90","Goals.total.1","Succ..att..actions","xG","total_passes_closeness","total_passes_betw","total_passes_pagerank","total_passes_transitivity","forward_passes_closeness","forward_passes_betw","forward_passes_pagerank","forward_passes_transitivity","back_passes_closeness","back_passes_betw","back_passes_pagerank","back_passes_transitivity","long_passes_closeness","long_passes_betw","long_passes_pagerank","long_passes_transitivity","final_3rd_passes_closeness","final_3rd_passes_betw","final_3rd_passes_pagerank","final_3rd_passes_transitivity","progressive_passes_closeness","progressive_passes_betw","progressive_passes_pagerank","progressive_passes_transitivity","Cluster"
"V. Masternoy",0.7,0.9,0.3,0.8,0.3,0.3,0.2,0.4,0.4,0.6,0.6,0.1,0.4,0.1,0,0,0.6,0.4,0.4,0.6,0.7,0.2,1,0.3,0.6,0.6,0.7,0.5,0,0,0.1,0.3,0.3,0.3,0.3,0,0.1,0,0.1,0.5,0.2,0.6,0.6,0.5,0.3,0,0.5,0.2,0.4,0.3,0.1,0.2,0,0,0,0.1,0.2,0.2,0,0,0,0,0,0,0,0.2,0,1,1,1,0.1,1,1,0.7,0.2,1,1,0.7,0.4,1,1,0.7,0.5,0.9,1,1,0.3,0.9,1,0.9,0.2,6
"V. Mikushin",0.6,0,0,0.5,0.1,0.3,0.1,0,0.1,0.5,0.5,0,0,0,0.2,0,0.3,0.2,1,0.1,0.7,0.1,1,0.1,0.7,0.4,0.8,0.3,0,0,0.5,0.1,0,0.2,0.2,0,0.4,1,0.4,0.5,0.1,0,0,0.3,0,0.1,0.8,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0.1,0.8,0.1,0.8,0.3,0.7,0.1,0.6,0.6,0.7,0.1,0.1,0.6,0.6,0.1,0.4,0.7,0.5,0,0.4,0.6,0.4,0.1,0.4,0.6,19
"V. Nikiforov",0.5,0.9,0.4,0.7,0.2,0.6,0.1,0.5,0.5,0.7,0.3,0.2,0.7,0,0.1,0,0.6,0.3,0.5,0.3,0.8,0.1,0.9,0.4,0.6,0.4,0.8,0.4,0,0,0,0.2,0.2,0.4,0.4,0.1,0.2,0.1,0.1,0.3,0.1,0.6,0.5,0.5,0.6,0.1,0.6,0.4,0.4,0.4,0.1,0.2,0.1,0.1,0,0.5,0.1,0.1,0,0,0,0,0,0,0,0.4,0,0.8,0.4,0.8,0.1,0.7,0.2,0.6,0.6,0.7,0.7,0.6,0.4,0.6,0.2,0.5,0.4,0.5,0.8,1,0.5,0.6,0.3,0.8,0.5,16
"V. Pochivalin",0.7,0.8,0.5,1,0.6,0.3,0.2,0.6,0.6,0.7,0.5,0.2,0.7,0.1,0.5,0,0.6,0.4,0.6,0.4,0.8,0.2,0.9,0.4,0.7,0.6,0.8,0.4,0,0,0.1,0.2,0.4,0.3,0.3,0.3,0.5,0.2,0.4,0.4,0.1,0.7,0.7,0.6,0.2,0.1,0.5,0.3,0.5,0.3,0.2,0.1,0.2,0.1,0,0.2,0.2,0.1,0,0,0,0,0,0,0,0.3,0,0.9,0.4,0.9,0.5,1,0.6,0.8,0.6,1,0.2,0.3,0.3,0.8,0.5,1,0.5,0.9,0.2,0.4,0.4,0.9,0.5,1,0.5,16
"V. Rudenko",0,0,0,1,0.2,0,0,1,0.2,1,0,0,0,0,0,0,0,0.2,0,0,1,0.1,0.7,0.3,1,0,0.8,0.1,0,0,0,0,0.5,0.1,0.1,0,0.2,0,0.2,0.2,0.5,0.5,0.3,0.2,0.3,0.6,0.7,0.2,0,0,0.2,0,0,0,0,0,0.4,0,0,0,0.1,0,0,0,0,0.1,0,0.6,0.1,0.4,0.5,0.5,0,0,0.6,0.2,0.3,0.3,0.3,0.9,0,0,1,0.9,0,0,0.8,0.8,0,0,0.7,1
"V. Sarveli",0.2,0.9,0.2,0.9,0.7,0.4,0.6,0.6,0.5,0.6,0.2,0.4,0.4,0.8,0,0.2,0.4,0.3,0.5,0.1,0.6,0.1,0.9,0.6,0.6,0.3,0.7,0.3,0,0,0.1,0.5,0.3,0.2,0.3,0.1,0,0,0,0.4,0.2,0.6,0.4,0.3,0.6,0.7,0.5,0.5,0.4,0.2,0.3,0.6,0.2,0.4,0.1,0.4,0.6,0.8,0,0,0.6,0.5,0.8,0.4,0.7,0.6,1,0.7,0.2,0.7,0.3,0.7,0.3,0.2,0.2,1,0.4,0.6,0.5,0.8,0.1,0.2,0.5,0.9,0.2,0.4,0.5,1,0.9,0.7,0.5,20
"V. Sirotov",0.3,1,0.5,0.8,0.1,0,0.1,0.7,0.4,0.7,0.3,0.3,0.3,0.1,0,0.2,0.4,0.3,0.5,0.1,0.9,0.1,0.9,0.7,0.7,0.2,0.9,0.4,0,0,0,0,0.2,0.2,0.2,0.1,0,0,0,0.1,0.1,0.5,0.3,0.3,0.5,0.1,0.3,0.4,0.5,0.4,0.7,0.5,0.2,0.1,0,0.4,0.2,0.1,0,0,0.1,0,0,0,0,0.5,0.1,0.8,1,0.9,0.1,0.8,0.9,0.3,0,0.9,0.2,0.4,0.6,0.4,0.1,0.1,0.4,0.5,0.5,0.5,0,0.7,0.7,0.6,0.2,15
"V. Steklov",0.4,0,0,0.9,0.2,0.2,0.2,0.4,0.2,0.7,0.5,0.1,0.3,0.1,0.1,0.1,0.6,0.4,0.6,0.5,0.9,0.2,1,0.4,0.7,0.5,0.9,0.4,0,0,0.1,0.4,0.3,0.4,0.4,0.2,0.2,0.5,0.2,0.5,0.4,0.6,0.6,0.6,0.1,0.1,0.5,0.2,0,0.1,0.1,0.1,0,0,0.1,0.3,0.3,0.3,0,0,0.1,0.1,0.2,0.1,0.2,0.2,0.1,0.8,0.1,0.8,0.4,0.7,0.2,0.4,0.5,0.9,0.4,0.9,0.5,1,0.5,0.7,0.7,0.9,0.4,1,0.6,0.9,0.2,0.9,0.6,19
"V. Stezhko",0.6,1,0.1,0.2,0.2,0,0,0.3,0.1,0.7,0.4,0,0,0,0,0.3,0.7,0.5,0.5,0.6,0.9,0.2,1,0.2,0.7,0.6,0.9,0.5,0.2,0.5,0.1,0.4,0.3,0.5,0.6,0.6,0.4,0.4,0.3,0.6,0.4,0.7,0.6,0.8,0,0.1,1,0,1,0,0,0,0,0,0,0.7,0.1,0,0,0,0.2,0,0,0,0,0.1,0.1,0.5,0.1,0.7,0.4,0.5,0,0.5,0.7,0.8,0.1,0.3,0.4,0.8,0.1,0.5,0.4,0.9,0,0.3,0.7,0.4,0,0.5,0.5,17
"V. Tskhovrebov",0.6,0,0,0.8,0.2,0.1,0.2,0.5,0.1,0.6,0.5,0,0,0,0,0,0.6,0.4,0.6,0.6,0.9,0.3,0.9,0.5,0.6,0.6,0.9,0.5,0,0,0.1,0.2,0.4,0.4,0.4,0,0.8,0.4,0.7,0.4,0.2,0.6,0.8,0.8,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0.1,0.8,0.6,0.9,0.2,0.8,0.4,0.5,0.5,0.7,0.4,0.1,0.5,0.9,0.1,0.4,0.5,0.8,0,0.3,0.6,0.7,0.1,0.6,0.8,19
"V. Vasilyev",0.2,0,0,1,0.3,0.3,0.2,0.2,0.1,0.8,0.4,0.3,0.4,0.2,0,0,0,0.1,0,0,0.5,0.1,1,0.2,1,0,0.7,0.2,0,0,0,0,0.9,0.2,0.2,0,0,0,0,0.3,1,0.5,0.3,0.2,0.2,0.1,0.7,0.1,0,0,0.1,0.1,0.4,0.3,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0.7,0.4,0.9,0.1,0.8,0.3,0.3,0.3,0.9,0.5,0.6,0.3,0.9,0.1,0.2,0.4,0.9,0.1,0.5,0.3,0.9,0,0.1,0.4,18
"V. Yakimov",0.6,1,0.2,0.6,0.2,0.2,0.3,0.4,0.3,0.7,0.7,0.2,0.3,0.3,0,0,0.7,0.4,0.5,0.4,0.9,0.3,0.8,0.5,0.6,0.4,0.8,0.5,0,0,0.1,0.1,0.4,0.4,0.4,0.1,0.2,0.3,0.2,0.7,0.4,0.7,0.6,0.7,0.4,0.1,0.6,0.1,0.6,0.1,0.1,0.1,0,0,0.5,0.5,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0.9,0.5,0.9,0.1,1,0.8,0.9,0.1,1,0.7,0.8,0.4,0.9,0.1,0.5,0.3,1,0.9,1,0.4,1,0.7,0.9,0.2,6
"V. Zapryagaev",0.3,0,0,1,0.3,0,0.1,0.7,0.1,0.5,0.4,0,0,0,0,0,0.9,0.8,0.7,0.4,1,0.1,0,0,0.8,0.3,0.9,0.1,0,0,0,0.2,0,0.1,0.1,0,0,0,0,0.8,0,1,0,0.1,0.1,0,0.8,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0.4,0.1,0.5,0.3,0.4,0.3,0.7,0,0.3,0,0.2,0.2,0.8,0.1,0.3,0.5,0.3,0.3,0.8,0.5,0.3,0.4,0.7,0.1,13
"V. Zhironkin",0.3,1,0.5,1,0.1,0,0,0.5,0.4,0.8,0.1,0.3,0,0,0,0.8,0.5,0.5,0.4,0.3,1,0.5,0.9,0.3,0.8,0.5,1,0.6,0,0,0.1,0.1,0.1,0.3,0.3,0.2,0,0,0,0.5,0.4,0.6,0.4,0.5,0.8,0.2,0.2,0.9,0.8,0.3,0.1,0,0,0,0,1,0.1,0,0,0,0.1,0,0,0,0,0.6,0,0.4,0.2,0.3,0.2,0.4,0,0,0.4,0.1,0.4,0.3,0.2,0.3,0,0,1,0.3,0.2,0.1,0.4,0.4,0.6,0.3,0.2,5
"V. Zinkov",0.5,1,0,0.6,0.4,0.2,0.1,0.6,0.2,0.7,0.4,0,0.5,0.1,0.2,0,0.3,0.3,0.2,0.4,0.8,0.2,1,0.7,0.4,0.2,0.8,0.3,0,0,0.5,0.1,0.8,0,0,0,0,0,0,0,0.1,0.5,0.4,0.1,0.2,0,0.8,0.1,0.2,0.1,0.2,0.2,0.2,0.1,0.1,0.4,0.2,0.1,0,0,0,0.1,0.1,0.1,0.1,0.2,0,0.9,1,1,0.1,0.9,0.2,0.3,0.4,0.9,0.3,0.3,0.5,0.8,0.1,0.3,0.5,0.9,0.2,0.4,0.4,0.8,0.3,0.6,0.5,18
"Y. Gorshkov",0.7,1,0.5,0.9,0.6,0.4,0.2,0.6,0.7,0.7,0.4,0.4,0.6,0.3,0,0.2,0.8,0.5,0.5,0.5,1,0.2,1,0.2,0.7,0.6,0.9,0.5,0,0,0,0.2,0.1,0.4,0.5,0.3,0.1,0,0.1,0.6,0.4,0.7,0.2,0.5,0.4,0.2,0.3,0.1,0.5,0.5,0.5,0.7,0.2,0.3,0,0.3,0.3,0.3,0,0,0.1,0,0,0,0,0.3,0.2,0.7,0.2,0.8,0.4,0.7,0.2,0.3,0.4,1,0.2,0.4,0.4,0.9,0.3,0.6,0.3,0.9,0.2,0.4,0.6,0.9,0.5,0.7,0.6,16
"Y. Kazaev",0.1,0,0,0.8,0.4,0.6,0.1,0.5,0.2,0.6,0.2,0.3,0.6,0.3,0.2,0,0.6,0.3,0.6,0.2,0.8,0.2,0.9,0.8,0.6,0.2,0.9,0.4,0,0,0.1,0.2,0.2,0.2,0.2,0,0.2,0.4,0.2,0.3,0.1,0.5,0.2,0.3,0.2,0.3,0.6,0.2,0,0.1,0.3,0.2,0,0,0.2,0.6,0.3,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.3,0.1,0.2,0,0.3,0.4,0.4,0.1,0.2,0,0.4,0.1,0.4,0.6,0.6,0.9,0.2,0.7,0.5,0.4,0.4,0.2,0.5,0.1,0.2,0.2,1
"Y. Lebedev",0.4,0.9,0.4,0.8,0.2,0.3,0.2,0.3,0.5,0.7,0.2,0.1,0.5,0.2,0,0,0.5,0.4,0.8,0.2,1,0.2,1,0.3,0.8,0.6,1,0.5,0.3,0.5,0.1,0.2,0.2,0.4,0.5,0.4,0.1,0,0.1,0.6,0.3,0.8,0.3,0.6,0.2,0.2,0.6,0.2,0.3,0.4,0.1,0,0,0,0,0.2,0.2,0.1,0,0,0,0,0,0,0,0.3,0,0.8,0.1,0.7,0.1,0.7,0.2,0.4,0.7,0.9,0.1,0.2,0.8,0.8,0,0.1,0.6,0.8,0.2,0.3,0.5,0.5,0,0.3,0.8,9
"Y. Morozov",0.4,0,0,0.3,0.1,0.3,0.1,0.7,0,0.7,0.4,0.1,0,0,0,0,0.2,0.2,0.3,0,0.8,0.1,0.8,0.4,0.5,0.1,0.8,0.2,0,0,0,0.1,0.3,0.3,0.2,0.1,0,0,0,0.4,0.6,0.4,0.1,0.2,0.2,0.2,0.7,0,0,0,0.1,0.1,0.1,0.1,0,0.2,0.2,0.1,0,0,0.1,0,0,0,0,0.1,0.1,0.9,0.1,0.8,0.2,0.8,0,0.6,1,0.9,0,0.1,0.8,0.8,0.1,0.6,0.6,0.8,0,0.5,0.6,0.6,0.1,0.9,0.9,19
"Y. Zavezen",0.3,1,0.2,1,0.4,1,0,0.6,0.3,0.6,0.2,0.1,0.5,0.1,0,0,0.3,0.2,0.5,0.1,0.7,0.1,0.9,0.7,0.6,0.2,0.8,0.4,0,0,0.1,0.3,0.2,0.3,0.3,0,0,0,0,0.3,0.2,0.6,0.4,0.3,0.3,0.5,0.4,0.2,0.4,0.3,0.1,0.1,0,0,0.2,0.4,0.2,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.9,0.6,0.8,0.2,0.8,0.4,0.3,0.1,1,0.8,0.6,0.4,0.8,0.2,0.4,0.3,1,0.6,0.4,0.5,1,0.3,0.6,0.5,15
